manufactured_date,name,manufacturer,owner_first_name,owner_last_name,license
01//18//2005,Soul-bdf1760b,KIA,Alexandra,Olsen,02JL3
10//26//2006,Soul-17f29fae,KIA,Angela,Allen,BOB 907
06//12//2008,Corolla-f4100076,TOYOTA,Linda,Cunningham,SCR 895
08//27//2007,Prius-9a6b07f9,TOYOTA,Matthew,Wagner,4-00791W
10//17//2008,Camry-a89f7e0a,TOYOTA,Michael,Leach,9453
08//27//2005,Prius-1026c5e3,TOYOTA,Lawrence,Tapia,973-OSA
05//19//2004,Corvette-74d6673a,CHEVROLET,Cathy,Miller,MCT 981
03//01//2008,Mustang-c76d8f9c,FORD,Christopher,Salazar,906 TA4
02//05//2006,Mustang-7d2885c4,FORD,Sheryl,Grimes,241-222
04//11//2008,Corolla-cc5f7996,TOYOTA,Michael,Tucker,00-6358C
04//13//2007,Corolla-f22bcda3,TOYOTA,Dustin,Lewis,33J•069
12//15//2005,Corvette-8c47d167,CHEVROLET,Christine,Brown,LVR-798
12//15//2004,Forester-9baed970,SUBARU,Chelsea,Fleming,29-B477
02//07//2009,Corvette-4093bcdd,CHEVROLET,Luke,Morales,SZT-856
06//23//2004,Mustang-377793a7,FORD,David,Wilkerson,0-19608
08//09//2005,A4-c7e734fa,AUDI,Anna,Morgan,J29 4KC
12//04//2005,A4-f7b76a31,AUDI,Kenneth,Brown,008 NZF
04//28//2008,Corvette-676b5c93,CHEVROLET,Joseph,Simpson,481 QZ9
10//14//2004,Civic-00213573,HONDA,Joseph,Terry,TWT-7293
08//17//2005,Soul-5812d921,KIA,Meagan,David,428-DPK
01//30//2005,A4-ac125a88,AUDI,Jennifer,White,326-RDD
10//14//2005,Camry-5aea880a,TOYOTA,Christopher,Young,313-ZNK
11//19//2006,Corvette-11e3bfa7,CHEVROLET,Robert,White,GHQ 952
12//20//2004,Silverado-9b4df6c7,CHEVROLET,Kelly,Gardner,762QFY
09//07//2004,Cruze-26e69291,CHEVROLET,John,Rogers,LCO 890
01//30//2006,Civic-b19a724b,HONDA,Jill,Lamb,780JH
11//11//2008,Escape-d410d3db,FORD,Daniel,Murray,TZ 2116
08//10//2008,Cruze-e1805b00,CHEVROLET,Kyle,Peterson,0MB 719
03//16//2004,Soul-03a36fa6,KIA,Julie,Garcia,EDJ 679
